ID_code,AH(v22.2)
B2_O_L2_Base_S_0.12_5.9_TS1,3795.7686069278056
B2_R_L2_Base_S_0.12_5.9_TS1,5608.54699886231
B2_O_L2_DG_E_0.2_0.8_TS2,3768.4019058224762
B2_O_L2_DG_E_0.2_0.8_TS3,3618.328130638985
B2_O_L2_DG_E_0.2_1.0_TS2,3768.530270303852
B2_O_L2_DG_E_0.2_1.0_TS3,3626.361638827426
B2_O_L2_DG_E_0.6_0.8_TS2,3591.750062067658
B2_O_L2_DG_E_0.6_0.8_TS3,3443.2706059397433
B2_O_L2_DG_E_0.6_1.0_TS2,3616.068107450823
B2_O_L2_DG_E_0.6_1.0_TS3,3469.0629738523903
B2_O_L2_DG_S_0.2_0.8_TS2,3792.5398019691247
B2_O_L2_DG_S_0.2_0.8_TS3,3641.1602592367635
B2_O_L2_DG_S_0.2_1.0_TS2,3797.3108834704085
B2_O_L2_DG_S_0.2_1.0_TS3,3652.7386727156118
B2_O_L2_DG_S_0.6_0.8_TS2,3516.9956855136297
B2_O_L2_DG_S_0.6_0.8_TS3,3385.5074840113516
B2_O_L2_DG_S_0.6_1.0_TS2,3542.780099475776
B2_O_L2_DG_S_0.6_1.0_TS3,3408.9715453807516
B2_O_L2_DG_W_0.2_0.8_TS2,3729.0317510083496
B2_O_L2_DG_W_0.2_0.8_TS3,3586.9159554834146
B2_O_L2_DG_W_0.2_1.0_TS2,3740.4930555596143
B2_O_L2_DG_W_0.2_1.0_TS3,3594.2194506463375
B2_O_L2_DG_W_0.6_0.8_TS2,3571.9682333577202
B2_O_L2_DG_W_0.6_0.8_TS3,3432.476220672383
B2_O_L2_DG_W_0.6_1.0_TS2,3600.40158456364
B2_O_L2_DG_W_0.6_1.0_TS3,3460.0683955962695
B2_R_L2_DG_E_0.2_0.8_TS2,5466.646959644526
B2_R_L2_DG_E_0.2_0.8_TS3,5422.9929133420665
B2_R_L2_DG_E_0.2_1.0_TS2,5478.9540667602405
B2_R_L2_DG_E_0.2_1.0_TS3,5435.232496837476
B2_R_L2_DG_E_0.6_0.8_TS2,5316.0211030561595
B2_R_L2_DG_E_0.6_0.8_TS3,5274.734856965363
B2_R_L2_DG_E_0.6_1.0_TS2,5346.401813488723
B2_R_L2_DG_E_0.6_1.0_TS3,5310.85287015097
B2_R_L2_DG_S_0.2_0.8_TS2,5526.580528912568
