ID_code,AT(v22.2)
B2_O_L2_Base_S_0.12_5.9_TS1,4476.912269213274
B2_R_L2_Base_S_0.12_5.9_TS1,6338.813762130391
B2_O_L2_DG_E_0.2_0.8_TS2,4407.427880896601
B2_O_L2_DG_E_0.2_0.8_TS3,4286.624611455544
B2_O_L2_DG_E_0.2_1.0_TS2,4407.25233808805
B2_O_L2_DG_E_0.2_1.0_TS3,4293.9264466635
B2_O_L2_DG_E_0.6_0.8_TS2,4291.528422115134
B2_O_L2_DG_E_0.6_0.8_TS3,4174.390604331216
B2_O_L2_DG_E_0.6_1.0_TS2,4312.086952557423
B2_O_L2_DG_E_0.6_1.0_TS3,4196.023733397493
B2_O_L2_DG_S_0.2_0.8_TS2,4441.812678860257
B2_O_L2_DG_S_0.2_0.8_TS3,4320.465648630912
B2_O_L2_DG_S_0.2_1.0_TS2,4445.98892752711
B2_O_L2_DG_S_0.2_1.0_TS3,4331.107960550012
B2_O_L2_DG_S_0.6_0.8_TS2,4232.922469501332
B2_O_L2_DG_S_0.6_0.8_TS3,4132.977527666122
B2_O_L2_DG_S_0.6_1.0_TS2,4255.1664229732905
B2_O_L2_DG_S_0.6_1.0_TS3,4151.7896231612485
B2_O_L2_DG_W_0.2_0.8_TS2,4372.193397212971
B2_O_L2_DG_W_0.2_0.8_TS3,4256.759437052911
B2_O_L2_DG_W_0.2_1.0_TS2,4383.567653680009
B2_O_L2_DG_W_0.2_1.0_TS3,4263.7636973832305
B2_O_L2_DG_W_0.6_0.8_TS2,4259.60611673899
B2_O_L2_DG_W_0.6_0.8_TS3,4147.9445763996855
B2_O_L2_DG_W_0.6_1.0_TS2,4285.989899629323
B2_O_L2_DG_W_0.6_1.0_TS3,4173.00676057126
B2_R_L2_DG_E_0.2_0.8_TS2,6076.853203527428
B2_R_L2_DG_E_0.2_0.8_TS3,6082.350083916494
B2_R_L2_DG_E_0.2_1.0_TS2,6087.070522414155
B2_R_L2_DG_E_0.2_1.0_TS3,6092.3930299078565
B2_R_L2_DG_E_0.6_0.8_TS2,6072.956200191382
B2_R_L2_DG_E_0.6_0.8_TS3,6100.511538938468
B2_R_L2_DG_E_0.6_1.0_TS2,6093.982218657477
B2_R_L2_DG_E_0.6_1.0_TS3,6126.314161780778
B2_R_L2_DG_S_0.2_0.8_TS2,6186.8970405996615
B2_R_L2_DG_S_0.2_0.8_TS3,6195.913915774474
B2_R_L2_DG_S_0.2_1.0_TS2,6196.224361198921
B2_R_L2_DG_S_0.2_1.0_TS3,6206.3566356387455
B2_R_L2_DG_S_0.6_0.8_TS2,6099.820672443982
B2_R_L2_DG_S_0.6_0.8_TS3,6135.449023258609
B2_R_L2_DG_S_0.6_1.0_TS2,6120.985928999752
B2_R_L2_DG_S_0.6_1.0_TS3,6157.251460011424
B2_R_L2_DG_W_0.2_0.8_TS2,6077.605883215941
B2_R_L2_DG_W_0.2_0.8_TS3,6084.18134073311
B2_R_L2_DG_W_0.2_1.0_TS2,6086.544911314852
B2_R_L2_DG_W_0.2_1.0_TS3,6092.3930299078565
B2_R_L2_DG_W_0.6_0.8_TS2,6048.300074167001
B2_R_L2_DG_W_0.6_0.8_TS3,6073.15250191994
B2_R_L2_DG_W_0.6_1.0_TS2,6074.009662892972
B2_R_L2_DG_W_0.6_1.0_TS3,6099.127312041204
B2_O_L2_DS_E_0.2_0.8_TS2,4393.931264593434
B2_O_L2_DS_E_0.2_1.0_TS2,4409.638795550986
B2_O_L2_DS_E_0.6_0.8_TS2,4345.59943001493
B2_O_L2_DS_E_0.6_1.0_TS2,4384.120083452686
B2_O_L2_DS_S_0.2_0.8_TS2,4426.845984416024
B2_O_L2_DS_S_0.2_1.0_TS2,4447.323367845571
B2_O_L2_DS_S_0.6_0.8_TS2,4343.489225959602
B2_O_L2_DS_S_0.6_1.0_TS2,4382.064057023554
B2_O_L2_DS_W_0.2_0.8_TS2,4358.263902662674
B2_O_L2_DS_W_0.2_1.0_TS2,4378.422662028996
B2_O_L2_DS_W_0.6_0.8_TS2,4316.533376208505
B2_O_L2_DS_W_0.6_1.0_TS2,4353.863080048705
B2_R_L2_DS_E_0.2_0.8_TS2,6361.830350222681
B2_R_L2_DS_E_0.2_1.0_TS2,6382.105563533819
B2_R_L2_DS_E_0.6_0.8_TS2,6475.784866015929
B2_R_L2_DS_E_0.6_1.0_TS2,6514.984712139205
B2_R_L2_DS_S_0.2_0.8_TS2,6470.2409900605335
B2_R_L2_DS_S_0.2_1.0_TS2,6488.625132564935
B2_R_L2_DS_S_0.6_0.8_TS2,6519.964634508297
B2_R_L2_DS_S_0.6_1.0_TS2,6559.226038962477
B2_R_L2_DS_W_0.2_0.8_TS2,6306.204343418469
B2_R_L2_DS_W_0.2_1.0_TS2,6326.015921364493
B2_R_L2_DS_W_0.6_0.8_TS2,6368.645051633348
B2_R_L2_DS_W_0.6_1.0_TS2,6411.807079270467
B2_O_L2_MW_E_0.2_0.8_TS2,4424.354429248069
B2_O_L2_MW_E_0.2_0.8_TS3,4401.995012757725
B2_O_L2_MW_E_0.2_1.0_TS2,4437.518031300193
B2_O_L2_MW_E_0.2_1.0_TS3,4417.070671840145
