ID_code,DeltaAC%(v8.5-8.7),DeltaAH%(v8.5-8.7),DeltaAT%(v8.5-8.7),Use,Orient,Glass,Storage,Version
B2_O_L1_Base_S_0.12_5.9_TS1,0.07,0.08,0.07,1.0,1.0,1.0,1.0,1.0
B2_O_L2_Base_S_0.12_5.9_TS1,0.24,0.07,0.1,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DG_E_0.2_0.8_TS2,-1.44,2.28,-0.52,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DG_E_0.2_0.8_TS3,-1.37,2.91,-0.33,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DG_E_0.2_2.3_TS2,0.08,0.04,0.07,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DG_E_0.2_2.3_TS3,0.08,0.02,0.07,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DG_E_0.6_0.8_TS2,-4.24,6.83,-1.94,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DG_E_0.6_0.8_TS3,-3.93,7.75,-1.55,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DG_E_0.6_2.3_TS2,0.09,0.42,0.16,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DG_E_0.6_2.3_TS3,0.11,0.11,0.11,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DG_S_0.2_0.8_TS2,-0.97,4.28,0.32,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DG_S_0.2_0.8_TS3,-0.9,4.23,0.35,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DG_S_0.2_2.3_TS2,0.06,-0.05,0.04,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DG_S_0.2_2.3_TS3,0.07,-0.35,-0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DG_S_0.6_0.8_TS2,-2.62,11.31,0.15,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DG_S_0.6_0.8_TS3,-2.27,10.28,0.24,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DG_S_0.6_2.3_TS2,0.08,0.1,0.08,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DG_S_0.6_2.3_TS3,0.1,-0.23,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DG_W_0.2_0.8_TS2,-1.16,2.46,-0.29,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DG_W_0.2_0.8_TS3,-1.01,2.4,-0.2,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DG_W_0.2_2.3_TS2,0.07,0.03,0.06,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DG_W_0.2_2.3_TS3,0.08,0.41,0.16,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DG_W_0.6_0.8_TS2,-3.69,5.84,-1.72,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DG_W_0.6_0.8_TS3,-3.0,6.22,-1.1,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DG_W_0.6_2.3_TS2,0.08,-0.15,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DG_W_0.6_2.3_TS3,0.09,0.16,0.11,1.0,1.0,1.0,1.0,1.0
B2_O_L2_DG_E_0.2_0.8_TS2,-1.86,1.27,0.8,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DG_E_0.2_0.8_TS3,-2.02,1.07,0.57,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DG_E_0.2_1.0_TS2,-1.88,0.84,0.43,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DG_E_0.2_1.0_TS3,-1.96,1.08,0.59,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DG_E_0.6_0.8_TS2,-6.52,3.04,1.34,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DG_E_0.6_0.8_TS3,-6.36,3.36,1.5,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DG_E_0.6_1.0_TS2,-5.32,2.5,1.15,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DG_E_0.6_1.0_TS3,-5.52,2.64,1.12,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DG_S_0.2_0.8_TS2,-1.43,2.07,1.54,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DG_S_0.2_0.8_TS3,-1.58,1.95,1.37,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DG_S_0.2_1.0_TS2,-1.35,1.74,1.27,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DG_S_0.2_1.0_TS3,-1.49,1.67,1.15,1.0,1.0,0.0,1.0,1.0
