ID_code,AC(v8.5),AH(v8.5),AT(v8.5)
B2_O_L1_Base_S_0.12_5.9_TS1,2736.52,916.57,3653.09
B2_O_L2_Base_S_0.12_5.9_TS1,683.44,3783.17,4466.610000000001
B2_O_L1_DG_E_0.2_0.8_TS2,2616.41,895.45,3511.8599999999997
B2_O_L1_DG_E_0.2_0.8_TS3,2640.41,881.93,3522.3399999999997
B2_O_L1_DG_E_0.2_2.3_TS2,2663.28,884.24,3547.5200000000004
B2_O_L1_DG_E_0.2_2.3_TS3,2686.18,866.33,3552.5099999999998
B2_O_L1_DG_E_0.6_0.8_TS2,2771.57,814.01,3585.58
B2_O_L1_DG_E_0.6_0.8_TS3,2785.92,800.3,3586.2200000000003
B2_O_L1_DG_E_0.6_2.3_TS2,2887.37,785.51,3672.88
B2_O_L1_DG_E_0.6_2.3_TS3,2888.03,763.95,3651.9800000000005
B2_O_L1_DG_S_0.2_0.8_TS2,2660.47,914.67,3575.14
B2_O_L1_DG_S_0.2_0.8_TS3,2681.64,901.71,3583.35
B2_O_L1_DG_S_0.2_2.3_TS2,2692.3,882.49,3574.79
B2_O_L1_DG_S_0.2_2.3_TS3,2709.44,868.34,3577.78
B2_O_L1_DG_S_0.6_0.8_TS2,2771.84,785.41,3557.25
B2_O_L1_DG_S_0.6_0.8_TS3,2782.45,783.29,3565.74
B2_O_L1_DG_S_0.6_2.3_TS2,2837.27,725.19,3562.46
B2_O_L1_DG_S_0.6_2.3_TS3,2833.24,726.1,3559.3399999999997
B2_O_L1_DG_W_0.2_0.8_TS2,2617.8,864.33,3482.13
B2_O_L1_DG_W_0.2_0.8_TS3,2638.8,848.28,3487.08
B2_O_L1_DG_W_0.2_2.3_TS2,2656.48,855.09,3511.57
B2_O_L1_DG_W_0.2_2.3_TS3,2671.94,840.23,3512.17
B2_O_L1_DG_W_0.6_0.8_TS2,2728.72,782.98,3511.7
B2_O_L1_DG_W_0.6_0.8_TS3,2738.85,777.64,3516.49
