ID_code,AC(v8.5),diff%_AC(v8.5),AH(v8.5),diff%_AH(v8.5),AT(v8.5),diff%_AT(v8.5),AC(v8.7),diff%_AC(v8.7),AH(v8.7),diff%_AH(v8.7),AT(v8.7),diff%_AT(v8.7),AC(v22.2),diff%_AC(v22.2),AH(v22.2),diff%_AH(v22.2),AT(v22.2),diff%_AT(v22.2),DeltaAC%(v8.7-22.2),DeltaAH%(v8.7-22.2),DeltaAT%(v8.7-22.2)
B2_O_L1_Base_S_0.12_5.9_TS1,2736.52,0.0,916.57,0.0,3653.09,0.0,2734.61,0.0,915.81,0.0,3650.42,0.0,2738.41,0.0,914.69,0.0,3653.1,0.0,0.14,-0.12,0.07
B2_O_L2_Base_S_0.12_5.9_TS1,683.44,0.0,3783.17,0.0,4466.610000000001,0.0,681.78,0.0,3780.43,0.0,4462.21,0.0,681.14,0.0,3795.77,0.0,4476.91,0.0,-0.09,0.41,0.33
B2_O_L1_DG_E_0.2_0.8_TS2,2616.41,-4.39,895.45,-2.3,3511.86,-3.87,2614.24,-4.4,893.23,-2.47,3507.47,-3.92,2616.5,-4.45,889.87,-2.71,3506.37,-4.02,0.09,-0.38,-0.03
B2_O_L1_DG_E_0.2_0.8_TS3,2640.41,-3.51,881.93,-3.78,3522.34,-3.58,2638.25,-3.52,882.71,-3.61,3520.96,-3.55,2641.44,-3.54,875.07,-4.33,3516.51,-3.74,0.12,-0.87,-0.13
B2_O_L1_DG_E_0.2_2.3_TS2,2663.28,-2.68,884.24,-3.53,3547.5200000000004,-2.89,2661.11,-2.69,883.85,-3.49,3544.96,-2.89,2663.74,-2.73,879.21,-3.88,3542.95,-3.02,0.1,-0.52,-0.06
B2_O_L1_DG_E_0.2_2.3_TS3,2686.18,-1.84,866.33,-5.48,3552.51,-2.75,2683.98,-1.85,866.15,-5.42,3550.13,-2.75,2686.49,-1.9,859.27,-6.06,3545.76,-2.94,0.09,-0.79,-0.12
B2_O_L1_DG_E_0.6_0.8_TS2,2771.57,1.28,814.01,-11.19,3585.58,-1.85,2769.15,1.26,815.1,-11.0,3584.25,-1.81,2772.73,1.25,811.13,-11.32,3583.86,-1.9,0.13,-0.49,-0.01
B2_O_L1_DG_E_0.6_0.8_TS3,2785.92,1.81,800.3,-12.69,3586.2200000000003,-1.83,2783.21,1.78,800.53,-12.59,3583.74,-1.83,2785.17,1.71,797.19,-12.85,3582.36,-1.94,0.07,-0.42,-0.04
B2_O_L1_DG_E_0.6_2.3_TS2,2887.37,5.51,785.51,-14.3,3672.88,0.54,2884.88,5.5,782.26,-14.58,3667.14,0.46,2888.39,5.48,780.37,-14.68,3668.76,0.43,0.12,-0.24,0.04
B2_O_L1_DG_E_0.6_2.3_TS3,2888.03,5.54,763.95,-16.65,3651.980000000001,-0.03,2884.8,5.49,763.1,-16.67,3647.9,-0.07,2887.84,5.46,758.98,-17.02,3646.82,-0.17,0.11,-0.54,-0.03
B2_O_L1_DG_S_0.2_0.8_TS2,2660.47,-2.78,914.67,-0.21,3575.14,-2.13,2658.94,-2.77,913.9,-0.21,3572.84,-2.13,2660.96,-2.83,909.97,-0.52,3570.9300000000003,-2.25,0.08,-0.43,-0.05
B2_O_L1_DG_S_0.2_0.8_TS3,2681.64,-2.01,901.71,-1.62,3583.35,-1.91,2679.93,-2.0,901.06,-1.61,3580.99,-1.9,2682.42,-2.04,896.68,-1.97,3579.1,-2.03,0.09,-0.49,-0.05
B2_O_L1_DG_S_0.2_2.3_TS2,2692.3,-1.62,882.49,-3.72,3574.79,-2.14,2690.6,-1.61,882.9,-3.59,3573.5,-2.11,2693.11,-1.65,882.29,-3.54,3575.4,-2.13,0.09,-0.07,0.05
B2_O_L1_DG_S_0.2_2.3_TS3,2709.44,-0.99,868.34,-5.26,3577.78,-2.06,2707.42,-0.99,871.37,-4.85,3578.79,-1.96,2709.88,-1.04,866.77,-5.24,3576.65,-2.09,0.09,-0.53,-0.06
B2_O_L1_DG_S_0.6_0.8_TS2,2771.84,1.29,785.41,-14.31,3557.25,-2.62,2770.08,1.3,785.52,-14.23,3555.6,-2.6,2772.62,1.25,784.55,-14.23,3557.17,-2.63,0.09,-0.12,0.04
B2_O_L1_DG_S_0.6_0.8_TS3,2782.45,1.68,783.29,-14.54,3565.74,-2.39,2780.43,1.68,781.94,-14.62,3562.37,-2.41,2782.26,1.6,777.17,-15.03,3559.4300000000003,-2.56,0.07,-0.61,-0.08
B2_O_L1_DG_S_0.6_2.3_TS2,2837.27,3.68,725.19,-20.88,3562.46,-2.48,2835.01,3.67,724.43,-20.9,3559.44,-2.49,2838.87,3.67,721.79,-21.09,3560.66,-2.53,0.14,-0.36,0.03
B2_O_L1_DG_S_0.6_2.3_TS3,2833.24,3.53,726.1,-20.78,3559.34,-2.57,2830.55,3.51,727.8,-20.53,3558.3500000000004,-2.52,2833.59,3.48,722.55,-21.01,3556.1400000000003,-2.65,0.11,-0.72,-0.06
B2_O_L1_DG_W_0.2_0.8_TS2,2617.8,-4.34,864.33,-5.7,3482.13,-4.68,2616.2,-4.33,863.46,-5.72,3479.66,-4.68,2617.9,-4.4,858.26,-6.17,3476.16,-4.84,0.06,-0.6,-0.1
B2_O_L1_DG_W_0.2_0.8_TS3,2638.8,-3.57,848.28,-7.45,3487.08,-4.54,2636.92,-3.57,848.62,-7.34,3485.54,-4.52,2639.01,-3.63,846.92,-7.41,3485.9300000000003,-4.58,0.08,-0.2,0.01
B2_O_L1_DG_W_0.2_2.3_TS2,2656.48,-2.92,855.09,-6.71,3511.57,-3.87,2654.63,-2.92,854.84,-6.66,3509.4700000000003,-3.86,2656.81,-2.98,850.71,-6.99,3507.52,-3.99,0.08,-0.48,-0.06
B2_O_L1_DG_W_0.2_2.3_TS3,2671.94,-2.36,840.23,-8.33,3512.17,-3.86,2669.88,-2.37,836.81,-8.63,3506.69,-3.94,2672.03,-2.42,835.28,-8.68,3507.3100000000004,-3.99,0.08,-0.18,0.02
B2_O_L1_DG_W_0.6_0.8_TS2,2728.72,-0.29,782.98,-14.57,3511.7,-3.87,2726.8,-0.29,785.74,-14.2,3512.54,-3.78,2729.01,-0.34,782.78,-14.42,3511.79,-3.87,0.08,-0.38,-0.02
B2_O_L1_DG_W_0.6_0.8_TS3,2738.85,0.09,777.64,-15.16,3516.49,-3.74,2736.82,0.08,775.48,-15.32,3512.3,-3.78,2739.21,0.03,771.84,-15.62,3511.05,-3.89,0.09,-0.47,-0.04
