ID_code,AC(v8.5_old_py),diff%_AC(v8.5_old_py),AH(v8.5_old_py),diff%_AH(v8.5_old_py),AT(v8.5_old_py),diff%_AT(v8.5_old_py),AC(v8.7),diff%_AC(v8.7),AH(v8.7),diff%_AH(v8.7),AT(v8.7),diff%_AT(v8.7),AC(v22.2),diff%_AC(v22.2),AH(v22.2),diff%_AH(v22.2),AT(v22.2),diff%_AT(v22.2),Delta_AC%_(v22.2-8.7_new),Delta_AH%_(v22.2-8.7_new),Delta_AT%_(v22.2-8.7_new)
B2_O_L1_Base_S_0.12_5.9_TS1,2736.52,0.0,916.57,0.0,3653.09,0.0,2734.61,0.0,915.81,0.0,3650.42,0.0,2738.41,0.0,914.69,0.0,3653.1,0.0,0.14,-0.12,0.07
B2_O_L2_Base_S_0.12_5.9_TS1,683.44,0.0,3783.17,0.0,4466.610000000001,0.0,681.78,0.0,3780.43,0.0,4462.21,0.0,681.14,0.0,3795.77,0.0,4476.91,0.0,-0.09,0.41,0.33
B2_O_L1_DG_E_0.2_0.8_TS2,2616.41,-4.39,895.45,-2.3,3511.8599999999997,-3.87,2654.59,-2.93,875.48,-4.4,3530.07,-3.3,2656.95,-2.97,866.93,-5.22,3523.88,-3.54,0.09,-0.98,-0.18
B2_O_L1_DG_E_0.2_0.8_TS3,2640.41,-3.51,881.93,-3.78,3522.3399999999997,-3.58,2677.14,-2.1,856.99,-6.42,3534.13,-3.19,2680.44,-2.12,852.79,-6.77,3533.23,-3.28,0.12,-0.49,-0.03
B2_O_L1_DG_E_0.2_2.3_TS2,2663.28,-2.68,884.24,-3.53,3547.5200000000004,-2.89,2661.11,-2.69,883.85,-3.49,3544.96,-2.89,2663.74,-2.73,879.21,-3.88,3542.95,-3.02,0.1,-0.52,-0.06
B2_O_L1_DG_E_0.2_2.3_TS3,2686.18,-1.84,866.33,-5.48,3552.5099999999998,-2.75,2683.98,-1.85,866.15,-5.42,3550.13,-2.75,2686.49,-1.9,859.27,-6.06,3545.76,-2.94,0.09,-0.79,-0.12
B2_O_L1_DG_E_0.6_0.8_TS2,2771.57,1.28,814.01,-11.19,3585.58,-1.85,2894.43,5.84,762.0,-16.79,3656.43,0.16,2898.44,5.84,757.94,-17.14,3656.38,0.09,0.14,-0.53,-0.0
B2_O_L1_DG_E_0.6_0.8_TS3,2785.92,1.81,800.3,-12.69,3586.2200000000003,-1.83,2899.82,6.04,742.71,-18.9,3642.53,-0.22,2903.88,6.04,736.27,-19.51,3640.15,-0.35,0.14,-0.87,-0.07
B2_O_L1_DG_E_0.6_2.3_TS2,2887.37,5.51,785.51,-14.3,3672.88,0.54,2884.88,5.5,782.26,-14.58,3667.1400000000003,0.46,2888.39,5.48,780.37,-14.68,3668.76,0.43,0.12,-0.24,0.04
B2_O_L1_DG_E_0.6_2.3_TS3,2888.03,5.54,763.95,-16.65,3651.9800000000005,-0.03,2884.8,5.49,763.1,-16.67,3647.9,-0.07,2887.84,5.46,758.98,-17.02,3646.82,-0.17,0.11,-0.54,-0.03
B2_O_L1_DG_S_0.2_0.8_TS2,2660.47,-2.78,914.67,-0.21,3575.14,-2.13,2686.5,-1.76,877.11,-4.23,3563.61,-2.38,2689.23,-1.8,874.4,-4.4,3563.63,-2.45,0.1,-0.31,0.0
B2_O_L1_DG_S_0.2_0.8_TS3,2681.64,-2.01,901.71,-1.62,3583.35,-1.91,2705.92,-1.05,865.09,-5.54,3571.01,-2.18,2708.1,-1.11,863.15,-5.63,3571.25,-2.24,0.08,-0.22,0.01
B2_O_L1_DG_S_0.2_2.3_TS2,2692.3,-1.62,882.49,-3.72,3574.79,-2.14,2690.6,-1.61,882.9,-3.59,3573.5,-2.11,2693.11,-1.65,882.29,-3.54,3575.4,-2.13,0.09,-0.07,0.05
B2_O_L1_DG_S_0.2_2.3_TS3,2709.44,-0.99,868.34,-5.26,3577.78,-2.06,2707.42,-0.99,871.37,-4.85,3578.79,-1.96,2709.88,-1.04,866.77,-5.24,3576.65,-2.09,0.09,-0.53,-0.06
B2_O_L1_DG_S_0.6_0.8_TS2,2771.84,1.29,785.41,-14.31,3557.25,-2.62,2846.49,4.09,705.58,-22.96,3552.0699999999997,-2.69,2849.08,4.04,705.7,-22.85,3554.78,-2.69,0.09,0.02,0.08
B2_O_L1_DG_S_0.6_0.8_TS3,2782.45,1.68,783.29,-14.54,3565.74,-2.39,2847.08,4.11,710.3,-22.44,3557.38,-2.55,2849.51,4.06,707.62,-22.64,3557.13,-2.63,0.09,-0.38,-0.01
B2_O_L1_DG_S_0.6_2.3_TS2,2837.27,3.68,725.19,-20.88,3562.46,-2.48,2835.01,3.67,724.43,-20.9,3559.44,-2.49,2838.87,3.67,721.79,-21.09,3560.66,-2.53,0.14,-0.36,0.03
B2_O_L1_DG_S_0.6_2.3_TS3,2833.24,3.53,726.1,-20.78,3559.3399999999997,-2.57,2830.55,3.51,727.8,-20.53,3558.3500000000004,-2.52,2833.59,3.48,722.55,-21.01,3556.14,-2.65,0.11,-0.72,-0.06
B2_O_L1_DG_W_0.2_0.8_TS2,2617.8,-4.34,864.33,-5.7,3482.13,-4.68,2648.62,-3.14,843.55,-7.89,3492.17,-4.34,2650.62,-3.21,839.17,-8.26,3489.79,-4.47,0.08,-0.52,-0.07
B2_O_L1_DG_W_0.2_0.8_TS3,2638.8,-3.57,848.28,-7.45,3487.08,-4.54,2665.85,-2.51,828.38,-9.55,3494.23,-4.28,2667.53,-2.59,823.54,-9.97,3491.07,-4.44,0.06,-0.58,-0.09
B2_O_L1_DG_W_0.2_2.3_TS2,2656.48,-2.92,855.09,-6.71,3511.57,-3.87,2654.63,-2.92,854.84,-6.66,3509.4700000000003,-3.86,2656.81,-2.98,850.71,-6.99,3507.52,-3.99,0.08,-0.48,-0.06
B2_O_L1_DG_W_0.2_2.3_TS3,2671.94,-2.36,840.23,-8.33,3512.17,-3.86,2669.88,-2.37,836.81,-8.63,3506.69,-3.94,2672.03,-2.42,835.28,-8.68,3507.31,-3.99,0.08,-0.18,0.02
B2_O_L1_DG_W_0.6_0.8_TS2,2728.72,-0.29,782.98,-14.57,3511.7,-3.87,2833.41,3.61,739.78,-19.22,3573.1899999999996,-2.12,2836.22,3.57,738.19,-19.3,3574.41,-2.15,0.1,-0.21,0.03
B2_O_L1_DG_W_0.6_0.8_TS3,2738.85,0.09,777.64,-15.16,3516.49,-3.74,2823.67,3.26,732.07,-20.06,3555.7400000000002,-2.59,2825.91,3.2,726.87,-20.53,3552.78,-2.75,0.08,-0.71,-0.08
