,value_heat,Heating,value_cool,Cooling,Total_consumption
4,2197.263396098251,B2_O_L2_DG_E_0.2_1.0_TS2,638.7220677841984,B2_O_L2_DG_E_0.2_1.0_TS2,2835.9854638824495
196,826.6737471474761,B2_R_L1_DG_E_0.2_0.8_TS2,2446.860544567893,B2_R_L1_DG_E_0.2_0.8_TS2,3273.5342917153694
197,836.6870856136956,B2_R_L1_DG_E_0.2_0.8_TS3,2503.667851588357,B2_R_L1_DG_E_0.2_0.8_TS3,3340.3549372020525
232,820.0235722046315,B2_R_L1_DS_E_0.2_0.8_TS2,2543.8099103809013,B2_R_L1_DS_E_0.2_0.8_TS2,3363.8334825855327
235,818.4284128465738,B2_R_L1_DS_E_0.6_2.3_TS2,2558.2193507839675,B2_R_L1_DS_E_0.6_2.3_TS2,3376.6477636305412
212,816.5566327326038,B2_R_L1_DG_W_0.2_0.8_TS2,2565.823449481432,B2_R_L1_DG_W_0.2_0.8_TS2,3382.3800822140356
234,815.3817121654221,B2_R_L1_DS_E_0.6_0.8_TS2,2568.1675317512018,B2_R_L1_DS_E_0.6_0.8_TS2,3383.5492439166237
233,828.5066311020942,B2_R_L1_DS_E_0.2_2.3_TS2,2563.1960213399325,B2_R_L1_DS_E_0.2_2.3_TS2,3391.7026524420266
198,813.7481073237052,B2_R_L1_DG_E_0.2_2.3_TS2,2597.0724363414233,B2_R_L1_DG_E_0.2_2.3_TS2,3410.8205436651288
213,827.3505587573969,B2_R_L1_DG_W_0.2_0.8_TS3,2614.216664060414,B2_R_L1_DG_W_0.2_0.8_TS3,3441.567222817811
214,815.2366117935195,B2_R_L1_DG_W_0.2_2.3_TS2,2635.8778692727074,B2_R_L1_DG_W_0.2_2.3_TS2,3451.1144810662267
243,826.302051698417,B2_R_L1_DS_W_0.6_2.3_TS2,2632.695784647349,B2_R_L1_DS_W_0.6_2.3_TS2,3458.997836345766
199,823.9799800484682,B2_R_L1_DG_E_0.2_2.3_TS3,2650.519389195441,B2_R_L1_DG_E_0.2_2.3_TS3,3474.4993692439093
188,858.2594018741299,B2_O_L1_DG_W_0.2_0.8_TS2,2617.8976473018233,B2_O_L1_DG_W_0.2_0.8_TS2,3476.157049175953
242,829.5245773437005,B2_R_L1_DS_W_0.6_0.8_TS2,2651.7374434283915,B2_R_L1_DS_W_0.6_0.8_TS2,3481.262020772092
312,690.4745666291466,B2_O_L1_ST_W_0.6_0.8_TS2,2793.194981881541,B2_O_L1_ST_W_0.6_0.8_TS2,3483.6695485106875
189,846.9159569486714,B2_O_L1_DG_W_0.2_0.8_TS3,2639.0139476707586,B2_O_L1_DG_W_0.2_0.8_TS3,3485.92990461943
309,739.7883651593355,B2_O_L1_ST_W_0.2_0.8_TS3,2748.792041824829,B2_O_L1_ST_W_0.2_0.8_TS3,3488.5804069841647
308,741.1488256707369,B2_O_L1_ST_W_0.2_0.8_TS2,2747.9805269111216,B2_O_L1_ST_W_0.2_0.8_TS2,3489.1293525818583
313,694.8938495885036,B2_O_L1_ST_W_0.6_0.8_TS3,2794.245946922146,B2_O_L1_ST_W_0.6_0.8_TS3,3489.1397965106494
200,766.0742726393592,B2_R_L1_DG_E_0.6_0.8_TS2,2726.6464972193726,B2_R_L1_DG_E_0.6_0.8_TS2,3492.7207698587317
316,741.1281978732443,B2_R_L1_ST_E_0.2_0.8_TS2,2754.546400007024,B2_R_L1_ST_E_0.2_0.8_TS2,3495.6745978802683
296,702.5803434002017,B2_O_L1_ST_E_0.6_0.8_TS2,2798.501585892635,B2_O_L1_ST_E_0.6_0.8_TS2,3501.081929292837
241,826.1485681268301,B2_R_L1_DS_W_0.2_2.3_TS2,2675.68229413619,B2_R_L1_DS_W_0.2_2.3_TS2,3501.83086226302
240,816.6386309875946,B2_R_L1_DS_W_0.2_0.8_TS2,2686.4740066242703,B2_R_L1_DS_W_0.2_0.8_TS2,3503.112637611865
216,765.7314525550099,B2_R_L1_DG_W_0.6_0.8_TS2,2738.671366592735,B2_R_L1_DG_W_0.6_0.8_TS2,3504.402819147745
317,740.7144758749549,B2_R_L1_ST_E_0.2_0.8_TS3,2764.3172600993184,B2_R_L1_ST_E_0.2_0.8_TS3,3505.0317359742735
297,699.6636300656016,B2_O_L1_ST_E_0.6_0.8_TS3,2805.5220038940065,B2_O_L1_ST_E_0.6_0.8_TS3,3505.185633959608
172,889.8674947223709,B2_O_L1_DG_E_0.2_0.8_TS2,2616.499691809862,B2_O_L1_DG_E_0.2_0.8_TS2,3506.3671865322326
191,835.2825993538278,B2_O_L1_DG_W_0.2_2.3_TS3,2672.026199450058,B2_O_L1_DG_W_0.2_2.3_TS3,3507.3087988038856
